id,from_id,date,text,post_id,owner_id,parents_stack,thread.count,thread.items,thread.can_post,thread.show_reply_button,thread.groups_can_post,thread.next_from,attachments,attachments_meta.primary_mode,deleted,is_from_post_author,is_negative,bdate,sex,topic,tone,group_id
1401322,414004816,1705452137,Скиньте мне инструкцию. Не могу ответить никому. Да и перестали со мной дружить.😉😆,1401319.0,-151060688.0,[],0,[],True,True,True,,,,,,,23.3.1999,2,science,positive,151060688
1401327,134843081,1705464956,Гениально!,1401319.0,-151060688.0,[],0,[],True,True,True,,,,,,,5.3.1991,2,science,positive,151060688
1401259,155433074,1705400850,"Ну тут скорее: ""Он сам все сделает, а я пока фигней пострадаю"". Либо же: ""Пусть он выполнит больше работы за меня, пока я буду отдыхать"".",1401214.0,-151060688.0,[],0,[],True,True,True,,,,,,,11.8.1999,2,science,positive,151060688
1400984,155433074,1705213199,"Главное: Показать сопернику, что ты настроен серьёзно☝",1400980.0,-151060688.0,[],0,[],True,True,True,,,,,,,11.8.1999,2,science,positive,151060688
1401134,783609516,1705309381,Новый вид единоборств 😁,1400980.0,-151060688.0,[],0,[],True,True,True,,,,,,,3.9.1995,2,science,positive,151060688
1401209,23518959,1705351842,"Жалко тех, кто верит в это.",1401190.0,-151060688.0,[],1,[],True,True,True,next/0//0,,,,,,11.4.1989,2,science,positive,151060688
1401230,509776944,1705386911,третья линия станет первой,1401190.0,-151060688.0,[],0,[],True,True,True,,,,,,,23.6.2004,2,science,positive,151060688
1401249,442185082,1705395965,Фух хорошо что я в 5265485198 здание,1401190.0,-151060688.0,[],0,[],True,True,True,,,,,,,4.3.2003,2,science,positive,151060688
1401283,373114097,1705417708,"И пофиг что вода испаряется, что в облаках её тоже очень много, а они каждый день над нами пролетают.
Не в природе дело, это люди хернёй страдают.",1401190.0,-151060688.0,[],0,[],True,True,True,,,,,,,7.9.1999,2,science,positive,151060688
1401301,743046554,1705431189,А слева или справа считать?,1401190.0,-151060688.0,[],0,[],True,True,True,,,,,,,4.9.1989,2,science,positive,151060688
1401177,306786219,1705333335,"Миллионы лет растения вырабатывают всякие токсические штуки, чтобы отгонять травоядных, но тут появляется человек и: «О! Это остренькое, пойдет в мясо.»",1401172.0,-151060688.0,[],0,[],True,True,True,,,,,,,26.2.1995,1,science,positive,151060688
1401182,686554597,1705336816,Для долго жителей,1401172.0,-151060688.0,[],0,[],True,True,True,,,,,,,31.5.1989,1,science,positive,151060688
1401175,686554597,1705331579,Выживала,1401166.0,-151060688.0,[],0,[],True,True,True,,,,,,,31.5.1989,1,science,positive,151060688
1401139,686554597,1705310802,Без этих витаминов ты просто зомби,1401135.0,-151060688.0,[],0,[],True,True,True,,,,,,,31.5.1989,1,science,positive,151060688
1401084,315408537,1705292946,Периферийные устройства,1401071.0,-151060688.0,[],0,[],True,True,True,,,,,,,6.10.1989,2,science,positive,151060688
1401060,794535551,1705272291,Можно ничего не будет! вранье и ибман,1401058.0,-151060688.0,[],0,[],True,True,True,,,,,,,1.1.2001,2,science,positive,151060688
1401063,794535551,1705272472,Можно не парьтесь врачи не учёные если что,1401058.0,-151060688.0,[],1,[],True,True,True,next/0//0,,,,,,1.1.2001,2,science,positive,151060688
1401064,794535551,1705272536,На даже такую крень выдумывать!,1401058.0,-151060688.0,[],0,[],True,True,True,,,,,,,1.1.2001,2,science,positive,151060688
1401044,671959920,1705260540,И на носок тёплый что бы подошло😂,1401042.0,-151060688.0,[],0,[],True,True,True,,,,,,,16.7.2002,2,science,positive,151060688
1401326,541727361,1705460025,Но блогодоря черной полоске !,1401039.0,-151060688.0,[],0,[],True,True,True,,,,,,,21.4.1998,2,science,positive,151060688
1401006,299282726,1705225221,"Да бред этого ни кто не даст сделать, туристы больше денег приносят, а правительство деньги любит",1400983.0,-151060688.0,[],0,[],True,True,True,,,,,,,9.5.1992,2,science,positive,151060688
1400989,179913239,1705215609,А давайте найдём на фото муравьёв,1400922.0,-151060688.0,[],0,[],True,True,True,,,,,,,18.3.1998,2,science,positive,151060688
1401171,558210052,1705327623,Сам он леопард снимал,1400922.0,-151060688.0,[],0,[],True,True,True,,,,,,,3.6.1998,2,science,positive,151060688
1401184,2642500,1705337845,На этой фотке я нашёл 8 шакалов из 10,1400922.0,-151060688.0,[],0,[],True,True,True,,,,,,,26.4.1988,2,science,positive,151060688
1400904,16078007,1705143672,Кости только афроамериканцев уберут?,1400890.0,-151060688.0,[],0,[],True,True,True,,,,,,,3.2.1988,2,science,positive,151060688
1400941,434873956,1705164558,"Цирк уехал, клоуны остались 🤡🤡🤡",1400890.0,-151060688.0,[],0,[],True,True,True,,,,,,,3.7.2003,1,science,positive,151060688
29792,222327,1565617535,"Канал Дмитрия Пучкова вполне заслуживает внесения в список. 
Чего стоят такие только плейлисты: 
https://www.youtube.com/playlist?list=PLQCYG6lKBuTZrSoPMNSUCI_lS0BBBK7it 
https://www.youtube.com/playlist?list=PLQCYG6lKBuTYITq6yB6o2-f9b0pHMqqL7",27168.0,-112289703.0,[],4,[],True,True,True,next/0//0,"[{'type': 'link', 'link': {'url': 'https://www.youtube.com/playlist?list=PLQCYG6lKBuTZrSoPMNSUCI_lS0BBBK7it', 'caption': 'www.youtube.com', 'is_favorite': False, 'title': 'Клим Жуков - исторические ролики - YouTube', 'target': 'internal'}, 'style': 'compact', 'compact': {'icons': [{'name': 'external_link_outline'}], 'title': {'text': {'text': 'Клим Жуков - исторические ролики - YouTube'}}, 'description': {'text': {'text': 'www.youtube.com'}}}}]",grid,,,,19.11.1989,2,science,positive,112289703
30159,277999555,1566486983,есть ли канал на спортивные темы?,27168.0,-112289703.0,[],3,[],True,True,True,next/0//0,,,,,,1.1.2004,2,science,positive,112289703
35230,284772256,1577215961,"Треш смеш, лидин, панчин 🤦‍♀️
В топку такую науку. Ещё бы понасенкова добавили",27168.0,-112289703.0,[],5,[],True,True,True,next/0//0,,,,,,30.1.1996,1,science,positive,112289703
35864,43176358,1578928428,+,27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,12.4.1991,2,science,positive,112289703
44825,561334021,1596701070,Спасибо,27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,1.11.1988,1,science,positive,112289703
44889,501466423,1596734621,"Спасибо за большую подборку, буду смотреть)",27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,6.11.2004,2,science,positive,112289703
52468,3728396,1605484935,А чего список так давно не обновляется?,27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,11.2.1989,1,science,positive,112289703
58021,525082740,1616004374,Скоро будем делать бинго со списками забаненых каналов,27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,23.2.2000,2,science,positive,112289703
58575,278932543,1617266792,"Ян Корчмарюк? Серьёзно? Это же фрик, какого ещё поискать надо.",27168.0,-112289703.0,[],1,[],True,True,True,next/0//0,,,,,,7.7.2004,2,science,positive,112289703
61257,87287702,1622027325,"Как сказал один хороший человек:
ТОПЛЕС не науч.поп.",27168.0,-112289703.0,[],2,[],True,True,True,next/0//0,,,,,,21.8.1990,2,science,positive,112289703
64384,233758071,1629227298,Какое тут классное у вас место *0*,27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,15.4.1991,1,science,positive,112289703
72625,301840823,1665510478,Красавчики!,27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,9.7.2003,2,science,positive,112289703
72626,301840823,1665510524,https://youtu.be/t9r6YX4di40,27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,9.7.2003,2,science,positive,112289703
73170,554567810,1669778569,https://youtube.com/@philosophy96,27168.0,-112289703.0,[],0,[],True,True,True,,,,,,,1.2.1996,2,science,positive,112289703
75969,721685635,1682158956,,27168.0,-112289703.0,[],0,[],True,True,True,,"[{'type': 'audio', 'audio': {'artist': 'Ancy Main', 'id': 456244940, 'owner_id': 2000310755, 'title': 'Exoplanet', 'duration': 220, 'access_key': '5f21bcffc47ac8b2c4', 'ads': {'content_id': '2000310755_456244940', 'duration': '220', 'account_age_type': '3', 'puid22': '7'}, 'is_explicit': False, 'is_licensed': True, 'url': 'https://cs9-14v4.vkuseraudio.net/s/v1/ac/8FUlB03WX9N4AQ5K3sshdM4ltaQGsiICjwUudmDVCgyJVfgT2BPkNJy89G_dtnO8EgBPxlDM6moXRamKYhxhkiBbaUvW9FUVVNHhyDFxHEUyYGhJU2sk-TyusKh5C2h1sXg-dfZIzWRKrikvJ_k8tFf2wqs34pZdwh3Xqulqazo_eKA/index.m3u8', 'date': 1682158956, 'album_id': 3, 'album': {'id': 15287269, 'title': 'Exoplanet', 'owner_id': -2000287269, 'access_key': '1a811943e60289a587', 'thumb': {'width': 300, 'height': 300, 'photo_34': 'https://sun55-2.userapi.com/impf/IrRTM6Q-DM3gUjLUqhpjdSJ723bykgFmfA07Dg/XgmBb8_yWyg.jpg?size=34x34&quality=96&sign=51ebdd5b317fe03e900b80fb9be0e1a4&c_uniq_tag=NSWtvKmDh0yRGgTJk2c2MfMtBB_DPoLiIdfCCAFNK94&type=audio', 'photo_68': 'https://sun55-2.userapi.com/impf/IrRTM6Q-DM3gUjLUqhpjdSJ723bykgFmfA07Dg/XgmBb8_yWyg.jpg?size=68x68&quality=96&sign=02af53638b150837fd3e9f0789ef1c1e&c_uniq_tag=ZmGnLuNrxhyeZZgTV1L4RWIqSpEhj5Prxr77-Nd1rY4&type=audio', 'photo_135': 'https://sun55-2.userapi.com/impf/IrRTM6Q-DM3gUjLUqhpjdSJ723bykgFmfA07Dg/XgmBb8_yWyg.jpg?size=135x135&quality=96&sign=c41af1e5448a7583e5302faea4fd00bf&c_uniq_tag=VpOwm8qsSAB4ZATx_bfBj6-dq6-UHem5nRJiDJ-8Efc&type=audio', 'photo_270': 'https://sun55-2.userapi.com/impf/IrRTM6Q-DM3gUjLUqhpjdSJ723bykgFmfA07Dg/XgmBb8_yWyg.jpg?size=270x270&quality=96&sign=25d8b59554823a632d0602c51c5c2fe5&c_uniq_tag=onKZYRB7GefA6l8vcV44HSAPSZEGdwlOw0c1RvDuXq4&type=audio', 'photo_300': 'https://sun55-2.userapi.com/impf/IrRTM6Q-DM3gUjLUqhpjdSJ723bykgFmfA07Dg/XgmBb8_yWyg.jpg?size=300x300&quality=96&sign=3d5031bfe554ca3fa1fe2bf520478b6b&c_uniq_tag=dB0YLaOx5AgFLlzBJ1n0AmaK8SGCSGsc-dGQ1Lj1-n4&type=audio', 'photo_600': 'https://sun55-2.userapi.com/impf/IrRTM6Q-DM3gUjLUqhpjdSJ723bykgFmfA07Dg/XgmBb8_yWyg.jpg?size=600x600&quality=96&sign=a4b75230bd026b787f269cb81c5bf1f4&c_uniq_tag=Lvqf8m9sxLn98poUc5r4hn3PFb5-uxrNxlOVGlQHYNA&type=audio', 'photo_1200': 'https://sun55-2.userapi.com/impf/IrRTM6Q-DM3gUjLUqhpjdSJ723bykgFmfA07Dg/XgmBb8_yWyg.jpg?size=1184x1184&quality=96&sign=348b65ae2a5d04acff5a23e98daf8262&c_uniq_tag=Ia25j6RrpuqAL9D3jOjWhmyvzGpmcqnE7tO2iCshbs8&type=audio'}}, 'main_artists': [{'name': 'Ancy Main', 'domain': '6612134592272073573', 'id': '6612134592272073573', 'is_followed': False, 'can_follow': False}], 'short_videos_allowed': False, 'stories_allowed': False, 'stories_cover_allowed': False}, 'style': 'full'}]",single,,,,13.9.1996,2,science,positive,112289703
